Sample,Pyruvate,Formate,Mass
NYCIII,0mmol,-0.025844,
NYCIII,10mmol,-0.025844,
NYCIII,100mmol,-0.006606,
JCP8066,0mmol,6.656348,6.656348
JCP8066,0mmol,7.079584,7.079584
JCP8066,0mmol,6.367778,6.367778
JCP8066,10mmol,6.05997,6.1205697
JCP8066,10mmol,5.96378,6.0234178
JCP8066,10mmol,5.348164,5.40164564
JCP8066,100mmol,2.50094,2.751034
JCP8066,100mmol,2.366274,2.6029014
JCP8066,100mmol,2.712558,2.9838138
CCUG72429,0mmol,2.616368,2.616368
CCUG72429,0mmol,3.405126,3.405126
CCUG72429,0mmol,2.69332,2.69332
CCUG72429,10mmol,2.50094,2.5259494
CCUG72429,10mmol,2.096942,2.11791142
CCUG72429,10mmol,2.270084,2.29278484
CCUG72429,100mmol,1.404374,1.5448114
CCUG72429,100mmol,1.038852,1.1427372
CCUG72429,100mmol,1.15428,1.269708
CCUG72425 ,0mmol,2.674082,2.674082
CCUG72425 ,0mmol,2.520178,2.520178
CCUG72425 ,0mmol,2.462464,2.462464
CCUG72425 ,10mmol,3.289698,3.32259498
CCUG72425 ,10mmol,3.828362,3.86664562
CCUG72425 ,10mmol,4.290074,4.33297474
CCUG72425 ,100mmol,3.55903,3.914933
CCUG72425 ,100mmol,3.347412,3.6821532
CCUG72425 ,100mmol,3.155032,3.4705352
DSM20243,0mmol,-0.211618,-0.211618
DSM20243,0mmol,-0.19238,-0.19238
DSM20243,0mmol,-0.346284,-0.346284
DSM20243,10mmol,-0.115428,-0.11658228
DSM20243,10mmol,-0.115428,-0.11658228
DSM20243,10mmol,-0.076952,-0.07772152
DSM20243,100mmol,-0.615616,-0.6771776
DSM20243,100mmol,-0.461712,-0.5078832
DSM20243,100mmol,-0.346284,-0.3809124
DSM20557,0mmol,-0.230856,-0.230856
DSM20557,0mmol,-0.19238,-0.19238
DSM20557,0mmol,-0.19238,-0.19238
DSM20557,10mmol,-0.09619,-0.0971519
DSM20557,10mmol,-0.307808,-0.31088608
DSM20557,10mmol,-0.230856,-0.23316456
DSM20557,100mmol,-0.230856,-0.2539416
DSM20557,100mmol,-0.211618,-0.2327798
DSM20557,100mmol,-0.250094,-0.2751034
CRM-YG + 3% FCS,0mmol,-0.025844,
CRM-YG + 3% FCS,10mmol,0.03187,
CRM-YG + 3% FCS,100mmol,-0.006606,
UPII 610-J,0mmol,0.654092,0.654092
UPII 610-J,0mmol,0.692568,0.692568
UPII 610-J,0mmol,0.67333,0.67333
UPII 610-J,10mmol,0.731044,0.73835444
UPII 610-J,10mmol,0.48095,0.4857595
UPII 610-J,10mmol,0.57714,0.5829114
UPII 610-J,100mmol,0.711806,0.7829866
UPII 610-J,100mmol,0.538664,0.5925304
UPII 610-J,100mmol,0.634854,0.6983394
KA00274,0mmol,4.367026,4.367026
KA00274,0mmol,4.482454,4.482454
KA00274,0mmol,4.52093,4.52093
KA00274,10mmol,3.828362,3.86664562
KA00274,10mmol,4.13617,4.1775317
KA00274,10mmol,4.23236,4.2746836
KA00274,100mmol,0.365522,0.4020742
KA00274,100mmol,0.346284,0.3809124
KA00274,100mmol,0.461712,0.5078832
PYG-mod-YG,0mmol,0.051108,
PYG-mod-YG,10mmol,0.339678,
PYG-mod-YG,100mmol,0.147298,
UPII 199-6,0mmol,0.634854,0.634854
UPII 199-6,0mmol,0.250094,0.250094
UPII 199-6,0mmol,0.307808,0.307808
UPII 199-6,10mmol,-0.250094,-0.25259494
UPII 199-6,10mmol,0.153904,0.15544304
UPII 199-6,10mmol,0.269332,0.27202532
UPII 199-6,100mmol,4.559406,5.0153466
UPII 199-6,100mmol,4.597882,5.0576702
UPII 199-6,100mmol,5.213498,5.7348478
BV3C16-1,0mmol,0.269332,0.269332
BV3C16-1,0mmol,0.538664,0.538664
BV3C16-1,0mmol,0.48095,0.48095
BV3C16-1,10mmol,0.115428,0.11658228
BV3C16-1,10mmol,-0.076952,-0.07772152
BV3C16-1,10mmol,0.28857,0.2914557
BV3C16-1,100mmol,1.558278,1.7141058
BV3C16-1,100mmol,1.981514,2.1796654
BV3C16-1,100mmol,1.15428,1.269708
