Strain,Hypophosphite,Formate (mM)
S. vaginalis DSM16631,0 mM,11.99270533
S. vaginalis DSM16631,0 mM,12.30743933
S. vaginalis DSM16631,0 mM,14.69042533
S. vaginalis DSM16631,1 mM,1.449116333
S. vaginalis DSM16631,1 mM,0.977015333
S. vaginalis DSM16631,1 mM,1.066939333
S. vaginalis DSM16631,10 mM,0.347547333
S. vaginalis DSM16631,10 mM,0.077775333
S. vaginalis DSM16631,10 mM,0.032813333
G. vaginalis 315-A,0 mM,13.02683133
G. vaginalis 315-A,0 mM,12.30743933
G. vaginalis 315-A,0 mM,13.67878033
G. vaginalis 315-A,1 mM,1.381673333
G. vaginalis 315-A,1 mM,1.539040333
G. vaginalis 315-A,1 mM,0.482433333
G. vaginalis 315-A,10 mM,0.414990333
G. vaginalis 315-A,10 mM,0.077775333
G. vaginalis 315-A,10 mM,0.549876333
G. swidsinskii CCUG72429,0 mM,3.922026333
G. swidsinskii CCUG72429,0 mM,3.922026333
G. swidsinskii CCUG72429,0 mM,3.337520333
G. swidsinskii CCUG72429,1 mM,-1.450932667
G. swidsinskii CCUG72429,1 mM,-1.068755667
G. swidsinskii CCUG72429,1 mM,-1.046274667
G. swidsinskii CCUG72429,10 mM,-1.293565667
G. swidsinskii CCUG72429,10 mM,-1.338527667
G. swidsinskii CCUG72429,10 mM,-1.338527667
F. vaginae DSM15829,0 mM,0.122737333
F. vaginae DSM15829,0 mM,0.122737333
F. vaginae DSM15829,0 mM,-0.169515667
F. vaginae DSM15829,1 mM,-1.405970667
F. vaginae DSM15829,1 mM,-1.720704667
F. vaginae DSM15829,1 mM,-1.585818667
F. vaginae DSM15829,10 mM,-1.540856667
F. vaginae DSM15829,10 mM,-1.495894667
F. vaginae DSM15829,10 mM,-1.271084667
M. mulieris DSM2710,0 mM,1.516559333
M. mulieris DSM2710,0 mM,0.864610333
M. mulieris DSM2710,0 mM,1.359192333
M. mulieris DSM2710,1 mM,-0.484249667
M. mulieris DSM2710,1 mM,-0.484249667
M. mulieris DSM2710,1 mM,-0.461768667
M. mulieris DSM2710,10 mM,-0.866426667
M. mulieris DSM2710,10 mM,-0.664097667
M. mulieris DSM2710,10 mM,-0.214477667
A. nucleatus KA00274,0 mM,0.932053333
A. nucleatus KA00274,0 mM,1.156863333
A. nucleatus KA00274,0 mM,3.809621333
A. nucleatus KA00274,1 mM,-0.529211667
A. nucleatus KA00274,1 mM,-0.596654667
A. nucleatus KA00274,1 mM,-0.191996667
A. nucleatus KA00274,10 mM,-0.057110667
A. nucleatus KA00274,10 mM,-0.439287667
A. nucleatus KA00274,10 mM,-0.551692667
