Culture,Timepoint,Formate (mM)
DNF00809,Pre-G. vaginalis Culture,1.078353333
DNF00809,Pre-G. vaginalis Culture,1.010652333
DNF00809,Pre-G. vaginalis Culture,1.281456333
DNF00809,Post-G.vaginalis Culture,8.164391333
DNF00809,Post-G.vaginalis Culture,9.653813333
DNF00809,Post-G.vaginalis Culture,12.58752333
DNF00809,Post-DNF00809 Culture,1.010652333
DNF00809,Post-DNF00809 Culture,5.162980333
DNF00809,Post-DNF00809 Culture,5.230681333
Mock-Inoculated,Post-G.vaginalis Culture,8.164391333
Mock-Inoculated,Post-G.vaginalis Culture,9.653813333
Mock-Inoculated,Post-G.vaginalis Culture,12.58752333
Mock-Inoculated,Post-DNF00809 Culture,8.863968333
Mock-Inoculated,Post-DNF00809 Culture,9.067071333
Mock-Inoculated,Post-DNF00809 Culture,9.653813333
